community,sv,count,fract
wgs__ERR2213665,sv-3842:wgs__ERR2213665,839,0.025223220996302198
wgs__ERR2213665,sv-7681:wgs__ERR2213665,506,0.015212097525779395
wgs__ERR2213665,sv-10436:wgs__ERR2213665,359,0.010792772750503563
wgs__ERR2213665,sv-11683:wgs__ERR2213665,298,0.00895890328593332
wgs__ERR2213665,sv-12351:wgs__ERR2213665,267,0.008026936836725491
wgs__ERR2213665,sv-13469:wgs__ERR2213665,211,0.006343384541382317
wgs__ERR2213666,sv-72:wgs__ERR2213690,2064,0.0193336268347743
wgs__ERR2213666,sv-113:wgs__SRR5930507,3591,0.033637138548291916
wgs__ERR2213666,sv-225:wgs__ERR2213666,5629,0.052727221634178555
wgs__ERR2213666,sv-465:wgs__ERR2213666,13520,0.1266427494215836
wgs__ERR2213666,sv-738:wgs__ERR2213666,2535,0.023745515516546925
wgs__ERR2213666,sv-1327:wgs__ERR2213666,6278,0.05880644828910516
wgs__ERR2213666,sv-1595:wgs__ERR2213666,5366,0.05026368294350722
wgs__ERR2213666,sv-1861:wgs__ERR2213666,4794,0.04490572046797868
wgs__ERR2213666,sv-1990:wgs__ERR2213666,4544,0.042563953651751175
wgs__ERR2213666,sv-2054:wgs__ERR2213666,4412,0.04132750077278305
wgs__ERR2213666,sv-2371:wgs__ERR2213725,233,0.002182526672724037
wgs__ERR2213666,sv-3086:wgs__ERR2213666,3208,0.030049551785831373
wgs__ERR2213666,sv-3146:wgs__ERR2213666,3156,0.02956246428805605
wgs__ERR2213666,sv-3617:wgs__ERR2213666,2821,0.026424496754311192
wgs__ERR2213666,sv-3640:wgs__ERR2213666,2807,0.026293357812602454
wgs__ERR2213666,sv-3746:wgs__ERR2213666,2746,0.02572196670944294
wgs__ERR2213666,sv-3763:wgs__ERR2213666,2738,0.02564703017132366
wgs__ERR2213666,sv-4017:wgs__ERR2213666,2617,0.024513615032269547
wgs__ERR2213666,sv-4070:wgs__ERR2213666,2591,0.024270071283381885
wgs__ERR2213666,sv-4552:wgs__ERR2213666,2410,0.02257463210843317
wgs__ERR2213666,sv-4773:wgs__ERR2213666,2330,0.021825266727240368
wgs__ERR2213666,sv-5718:wgs__ERR2213666,2056,0.019258690296655022
wgs__ERR2213666,sv-6077:wgs__ERR2213666,1963,0.018387553041018388
wgs__ERR2213666,sv-6196:wgs__ERR2213666,1939,0.018162743426660546
wgs__ERR2213666,sv-6252:wgs__ERR2213666,1926,0.018040971552216716
wgs__ERR2213666,sv-6740:wgs__ERR2213666,1821,0.017057429489401164
wgs__ERR2213666,sv-7129:wgs__ERR2213666,1734,0.016242494637353992
wgs__ERR2213666,sv-7333:wgs__ERR2213666,1692,0.01584907781222777
wgs__ERR2213666,sv-7971:wgs__ERR2213666,1570,0.014706295605908746
wgs__ERR2213666,sv-8219:wgs__ERR2213666,1524,0.014275410511722885
wgs__ERR2213666,sv-8700:wgs__ERR2213666,1438,0.013469842726940622
wgs__ERR2213666,sv-9047:wgs__ERR2213666,1377,0.01289845162378111
wgs__ERR2213666,sv-10747:wgs__ERR2213666,1102,0.010322508125930852
wgs__ERR2213666,sv-11070:wgs__ERR2213666,1054,0.009872888897215172
wgs__ERR2213666,sv-11632:wgs__ERR2213666,965,0.009039219910638179
wgs__ERR2213666,sv-12073:wgs__ERR2213666,902,0.008449094672948847
wgs__ERR2213666,sv-13779:wgs__ERR2213666,627,0.0058731511750985885
wgs__ERR2213666,sv-13826:wgs__ERR2213666,619,0.005798214636979308
wgs__ERR2213666,sv-14137:wgs__ERR2213666,566,0.005301760071939076
wgs__ERR2213666,sv-14925:wgs__ERR2213666,443,0.004149610798355143
wgs__ERR2213666,sv-15759:wgs__ERR2213666,312,0.002922524986651929
wgs__ERR2213666,sv-16353:wgs__ERR2213666,237,0.002219994941783677
wgs__ERR2213666,sv-16430:wgs__ERR2213666,225,0.0021075901346047565
wgs__ERR2213666,sv-16993:wgs__ERR2213666,160,0.0014987307623856047
wgs__ERR2213666,sv-17410:wgs__ERR2213666,115,0.0010772127354646533
wgs__ERR2213668,sv-225:wgs__ERR2213666,5398,0.063821234334358
